game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2025_12_NYJ_BAL,2025,12,BAL,2025-11-23 13:00:00,51.6,5.5,14.3,0.0
2025_13_CIN_BAL,2025,13,BAL,2025-11-27 20:00:00,37.5,8.6,19.7,0.0
2025_14_PIT_BAL,2025,14,BAL,2025-12-07 13:00:00,38.6,2.6,7.8,0.0
2025_16_NE_BAL,2025,16,BAL,2025-12-21 20:00:00,37.3,7.3,19.9,0.0
2013_01_NE_BUF,2013,1,BUF,2013-09-08 13:00:00,62.0,8.6,20.1,0.0
2013_02_CAR_BUF,2013,2,BUF,2013-09-15 13:00:00,64.1,7.3,19.9,0.0
2013_04_BAL_BUF,2013,4,BUF,2013-09-29 13:00:00,68.3,7.1,21.5,0.0
2013_06_CIN_BUF,2013,6,BUF,2013-10-13 13:00:00,68.4,5.8,16.6,0.0
2013_09_KC_BUF,2013,9,BUF,2013-11-03 13:00:00,35.8,7.0,16.1,0.0
2013_11_NYJ_BUF,2013,11,BUF,2013-11-17 13:00:00,55.8,15.9,33.3,0.012
2013_16_MIA_BUF,2013,16,BUF,2013-12-22 13:00:00,51.1,16.3,30.4,0.0
2014_02_MIA_BUF,2014,2,BUF,2014-09-14 13:00:00,55.8,0.7,8.5,0.0
2014_03_SD_BUF,2014,3,BUF,2014-09-21 13:00:00,65.6,15.4,32.2,0.016
2014_06_NE_BUF,2014,6,BUF,2014-10-12 13:00:00,55.4,4.4,11.4,0.0
2014_07_MIN_BUF,2014,7,BUF,2014-10-19 13:00:00,44.0,8.7,22.4,0.0
2014_10_KC_BUF,2014,10,BUF,2014-11-09 13:00:00,42.7,9.7,22.8,0.004
2014_13_CLE_BUF,2014,13,BUF,2014-11-30 13:00:00,50.9,14.1,31.1,0.0
2014_15_GB_BUF,2014,15,BUF,2014-12-14 13:00:00,37.8,9.9,21.9,0.0
2015_01_IND_BUF,2015,1,BUF,2015-09-13 13:00:00,55.6,13.6,27.1,0.016
2015_02_NE_BUF,2015,2,BUF,2015-09-20 13:00:00,62.5,6.3,17.4,0.0
2015_04_NYG_BUF,2015,4,BUF,2015-10-04 13:00:00,58.9,5.8,16.1,0.0
2015_06_CIN_BUF,2015,6,BUF,2015-10-18 13:00:00,41.7,4.5,21.5,0.004
2015_09_MIA_BUF,2015,9,BUF,2015-11-08 13:00:00,45.5,5.1,14.1,0.0
2015_13_HOU_BUF,2015,13,BUF,2015-12-06 13:00:00,46.5,4.9,12.5,0.0
2015_16_DAL_BUF,2015,16,BUF,2015-12-27 13:00:00,38.3,9.0,17.4,0.039
