decay,prior,alpha,ridge,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n
0.99,0.3,8.0,3.0,7.499318125944166,10.198991425547444,10.791243138921468,284.0,0.4859154929577465,-0.0723431498079385,201.0,0.4776119402985074,-0.0881953867028494,0.2228192035032703,1055
0.99,0.3,8.0,10.0,7.498118208448526,10.1961862501646,10.788335507956926,280.0,0.4928571428571429,-0.0590909090909091,199.0,0.4773869346733668,-0.0886249428962997,0.2227394430089135,1055
0.99,0.5,2.0,1.0,7.51593002625872,10.228907120434544,10.825819506061192,335.0,0.4895522388059701,-0.0654002713704206,211.0,0.4928909952606635,-0.0590262817750969,0.2227945732507354,1055
0.99,0.5,2.0,3.0,7.515066961239698,10.227727704006671,10.823599284183114,336.0,0.4880952380952381,-0.0681818181818182,208.0,0.4951923076923077,-0.0546328671328671,0.2227479010421577,1055
0.99,0.5,2.0,10.0,7.512749926545837,10.224404104283243,10.818081136983944,330.0,0.4848484848484848,-0.0743801652892562,206.0,0.4951456310679611,-0.0547219770520741,0.2226295997878154,1055
0.99,0.5,4.0,1.0,7.515635611723232,10.229093879244491,10.82437675622456,338.0,0.4911242603550296,-0.0623991393222162,212.0,0.490566037735849,-0.0634648370497427,0.2228664504400601,1055
0.99,0.5,4.0,3.0,7.514771865006009,10.227882097244771,10.82232839561654,335.0,0.4895522388059701,-0.0654002713704206,213.0,0.488262910798122,-0.0678617157490397,0.2228195984228294,1055
0.99,0.5,4.0,10.0,7.5124604223656,10.224456633526746,10.816933001260775,332.0,0.4819277108433735,-0.0799561883899233,207.0,0.4975845410628019,-0.0500658761528327,0.2227007768407785,1055
0.99,0.5,8.0,1.0,7.516030637281194,10.232766840195175,10.821917621356707,335.0,0.4985074626865671,-0.048303934871099,211.0,0.4976303317535545,-0.0499784575613959,0.2229820135984545,1055
0.99,0.5,8.0,3.0,7.515231040641502,10.231490349100724,10.819971636382572,335.0,0.4925373134328358,-0.0597014925373134,209.0,0.492822966507177,-0.0591561548499347,0.2229359750238485,1055
0.99,0.5,8.0,10.0,7.513077178499474,10.227935033103575,10.814788095697772,334.0,0.4910179640718562,-0.0626020685900925,209.0,0.492822966507177,-0.0591561548499347,0.2228189687517678,1055
0.99,0.8,2.0,1.0,7.538516816057024,10.265536126347122,10.860009822780665,370.0,0.5027027027027027,-0.0402948402948403,224.0,0.5044642857142857,-0.0369318181818181,0.2232379070469661,1055
0.99,0.8,2.0,3.0,7.537239688979388,10.264017854541466,10.856374798650796,368.0,0.5027173913043478,-0.0402667984189723,225.0,0.5111111111111111,-0.0242424242424242,0.2231806412427465,1055
0.99,0.8,2.0,10.0,7.533973547625478,10.259860362355033,10.847161204883438,366.0,0.5,-0.0454545454545454,223.0,0.5201793721973094,-0.0069302894415002,0.2230394389196729,1055
0.99,0.8,4.0,1.0,7.538884189227482,10.266279328781296,10.860815390096356,375.0,0.504,-0.0378181818181818,224.0,0.5044642857142857,-0.0369318181818182,0.2232730089969631,1055
