stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25,fitted
rush_yards,K25_W0.25,18.36,17.6,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K25_W0.5,18.34,17.6,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K50_W0.0,18.42,17.63,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K50_W0.25,18.38,17.61,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K50_W0.5,18.36,17.62,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K100_W0.0,18.47,17.66,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K100_W0.25,18.43,17.64,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K100_W0.5,18.41,17.65,7554,6012,{'home_c': 0.060000000000000026}
pass_yards,base,61.24,61.56,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,wind10,61.06,61.47,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,windlin,61.12,61.51,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,pace25,60.9,61.15,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,pace50,60.98,61.06,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,own_prior,61.25,61.55,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,home,61.37,61.43,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K25_W0.0,61.84,61.59,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K25_W0.25,61.38,61.45,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K25_W0.5,61.25,61.54,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K50_W0.0,61.82,61.6,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K50_W0.25,61.37,61.46,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K50_W0.5,61.24,61.56,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K100_W0.0,61.86,61.69,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K100_W0.25,61.44,61.55,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K100_W0.5,61.32,61.68,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K200_W0.0,62.05,61.88,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K200_W0.25,61.64,61.79,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
pass_yards,K200_W0.5,61.53,61.92,2177,1712,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.0020000000000000157, 'home_c': 0.060000000000000026}"
