season,group,variant,n_pool,n_ap,median_rank,in_top10,pct,window
2024,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",71,6,14.5,3,0.7816901408450704,2023-25
2024,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",71,6,6.5,4,0.8661971830985916,2023-25
2024,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",71,6,15.0,2,0.7934272300469484,2023-25
2025,LB,"per snap, every part, 0.92 / 0.8 (page now)",76,4,8.5,3,0.8552631578947368,2023-25
2025,LB,"per snap, every part, 0.98 / 0.9",76,4,25.5,1,0.7039473684210527,2023-25
2025,LB,"per snap, no forced fumbles, 0.92 / 0.8",76,4,12.0,2,0.8421052631578948,2023-25
2025,LB,"per snap, coverage + rush only, 0.92 / 0.8",76,4,18.0,1,0.7105263157894737,2023-25
2025,LB,"per target coverage, 0.99 (CB page now)",76,4,39.0,2,0.5032894736842105,2023-25
2025,LB,"per target coverage + run/rush share 0.5, 0.99",76,4,43.0,1,0.5328947368421053,2023-25
2025,LB,"per target coverage + run/rush share 1.0, 0.99",76,4,41.0,0,0.5625,2023-25
2025,LB,"per snap, every part, 0.99 / 1.0",76,4,39.0,1,0.5657894736842105,2023-25
2025,LB,"per snap, run stops x2, 0.92 / 0.8",76,4,9.0,2,0.7894736842105263,2023-25
2025,LB,"per snap, run stops x2, 0.98 / 0.9",76,4,18.5,1,0.6907894736842105,2023-25
2025,LB,"per snap, every part + credited plays, 0.92 / 0.8",76,4,13.5,1,0.8355263157894737,2023-25
2025,LB,"per snap, every part + credited plays, 0.98 / 0.9",76,4,27.0,1,0.6776315789473684,2023-25
2025,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",76,4,13.5,2,0.7894736842105263,2023-25
2025,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",76,4,8.5,3,0.8421052631578947,2023-25
2025,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",76,4,20.5,1,0.736842105263158,2023-25
2025,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",76,4,7.0,3,0.8519736842105263,2023-25
2025,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",76,4,18.0,1,0.7598684210526316,2023-25
2025,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",76,4,4.0,3,0.868421052631579,2023-25
2025,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",76,4,10.0,2,0.8092105263157895,2023-25
2025,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",76,4,5.0,3,0.8585526315789473,2023-25
2025,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",76,4,10.0,2,0.8026315789473684,2023-25
2025,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",76,4,5.5,3,0.855263157894737,2023-25
2025,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",76,4,9.0,2,0.8125,2023-25
2025,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",76,4,6.0,3,0.8388157894736842,2023-25
2025,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",76,4,8.5,2,0.8124999999999999,2023-25
2025,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",76,4,5.5,3,0.8651315789473685,2023-25
