ts,season,week,rows,errors
2026-09-24T02-48-17Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T03-10-47Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T04-10-47Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T05-10-35Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T05-18-36Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T05-42-06Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T07-11-43Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T07-19-52Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T08-11-08Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T09-10-41Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T09-13-30Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T09-20-18Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T10-11-02Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T10-50-26Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T11-42-01Z,2026,3,258,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T12-08-05Z,2026,3,258,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T12-40-35Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T13-03-34Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T13-11-55Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-24T13-22-44Z,2026,3,16,
2026-09-24T14-00-16Z,2026,3,16,
2026-09-24T14-18-28Z,2026,3,16,
2026-09-24T14-37-32Z,2026,3,16,
2026-09-24T15-10-28Z,2026,3,16,
2026-09-24T16-09-56Z,2026,3,16,
2026-09-24T16-38-02Z,2026,3,16,
2026-09-24T17-28-48Z,2026,3,16,
2026-09-24T18-10-59Z,2026,3,16,
2026-09-24T18-36-22Z,2026,3,16,
2026-09-24T19-09-48Z,2026,3,16,
2026-09-24T19-32-47Z,2026,3,16,
2026-09-24T20-11-00Z,2026,3,16,
2026-09-24T21-11-03Z,2026,3,16,
2026-09-24T21-29-43Z,2026,3,16,
2026-09-24T21-53-28Z,2026,3,16,
2026-09-24T22-12-04Z,2026,3,16,
2026-09-24T22-26-30Z,2026,3,16,
2026-09-24T22-41-22Z,2026,3,16,
2026-09-24T22-52-37Z,2026,3,16,
2026-09-24T23-11-46Z,2026,3,16,
2026-09-24T23-26-08Z,2026,3,16,
2026-09-24T23-41-29Z,2026,3,16,
2026-09-25T00-04-29Z,2026,3,16,
2026-09-25T01-03-35Z,2026,3,15,
2026-09-25T01-20-38Z,2026,3,15,
2026-09-25T02-25-18Z,2026,3,15,
2026-09-25T02-57-33Z,2026,3,15,
2026-09-25T03-10-29Z,2026,3,15,
2026-09-25T04-19-03Z,2026,3,15,
2026-09-25T05-11-24Z,2026,3,15,
2026-09-25T06-11-30Z,2026,3,15,
2026-09-25T06-21-59Z,2026,3,15,
2026-09-25T06-45-01Z,2026,3,15,
